slug,name,exerciseType,bodyPart,difficulty,force,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,gifPublicId
kettlebell-swing,Kettlebell Swing,STRENGTH,FULL_BODY,INTERMEDIATE,PULL,COMPOUND,KETTLEBELL,"[""glutes"",""hamstrings""]","[""core"",""back"",""shoulders""]","[""Stand with the kettlebell slightly in front of you and hinge at your hips."",""Swing it back between your legs while keeping your spine controlled."",""Drive your hips forward to propel the kettlebell to around chest height.""]",exercises/kettlebell-swing/demo
goblet-squat,Goblet Squat,STRENGTH,LEGS,BEGINNER,PUSH,COMPOUND,KETTLEBELL,"[""quadriceps"",""glutes""]","[""hamstrings"",""core""]","[""Hold the kettlebell close to your chest."",""Sit your hips down and back while keeping your chest tall."",""Push through your feet to return to standing.""]",exercises/goblet-squat/demo
kettlebell-deadlift,Kettlebell Deadlift,STRENGTH,LEGS,BEGINNER,PULL,COMPOUND,KETTLEBELL,"[""glutes"",""hamstrings""]","[""back"",""quadriceps""]","[""Stand over the kettlebell with a stable stance."",""Hinge at your hips, bend your knees, and grip the handle."",""Stand by extending your hips and knees, then return the kettlebell under control.""]",exercises/kettlebell-deadlift/demo
kettlebell-overhead-press,Kettlebell Overhead Press,STRENGTH,SHOULDERS,INTERMEDIATE,PUSH,COMPOUND,KETTLEBELL,"[""shoulders""]","[""triceps"",""core""]","[""Hold a kettlebell securely at shoulder level."",""Brace your torso and press it overhead."",""Lower it under control and repeat before switching sides if using one arm.""]",exercises/kettlebell-overhead-press/demo
band-pull-apart,Band Pull-Apart,STRENGTH,SHOULDERS,BEGINNER,PULL,ISOLATION,RESISTANCE_BAND,"[""rear deltoids"",""upper back""]",[],"[""Hold a resistance band in front of you at shoulder height."",""Pull your hands apart while keeping your arms mostly straight."",""Squeeze your upper back, then return slowly.""]",exercises/band-pull-apart/demo
resistance-band-row,Resistance Band Row,STRENGTH,BACK,BEGINNER,PULL,COMPOUND,RESISTANCE_BAND,"[""upper back"",""lats""]","[""biceps""]","[""Anchor the band securely in front of you and hold both ends."",""Pull your hands toward your torso while drawing your shoulders back."",""Return slowly until your arms are extended.""]",exercises/resistance-band-row/demo
resistance-band-chest-press,Resistance Band Chest Press,STRENGTH,CHEST,BEGINNER,PUSH,COMPOUND,RESISTANCE_BAND,"[""chest""]","[""triceps"",""shoulders""]","[""Anchor the band securely behind you at chest height."",""Hold the handles near your chest and press forward."",""Return slowly while keeping your torso stable.""]",exercises/resistance-band-chest-press/demo
resistance-band-biceps-curl,Resistance Band Biceps Curl,STRENGTH,ARMS,BEGINNER,PULL,ISOLATION,RESISTANCE_BAND,"[""biceps""]","[""forearms""]","[""Stand on the middle of the band and hold the ends with palms forward."",""Keep your elbows close and curl your hands upward."",""Lower slowly while maintaining band tension.""]",exercises/resistance-band-biceps-curl/demo
treadmill-running,Treadmill Running,CARDIO,FULL_BODY,BEGINNER,,,MACHINE,"[""cardiovascular""]","[""legs""]","[""Step onto the treadmill and begin at a comfortable walking pace."",""Increase speed gradually to your planned running pace."",""Maintain an upright posture and finish by reducing speed gradually.""]",exercises/treadmill-running/demo
stationary-bike,Stationary Bike,CARDIO,FULL_BODY,BEGINNER,,,MACHINE,"[""cardiovascular""]","[""quadriceps"",""glutes"",""hamstrings""]","[""Adjust the seat so your knee remains slightly bent at the bottom of the pedal stroke."",""Begin pedaling at a comfortable resistance."",""Maintain a steady cadence and adjust resistance to match your workout.""]",exercises/stationary-bike/demo
elliptical-trainer,Elliptical Trainer,CARDIO,FULL_BODY,BEGINNER,,,MACHINE,"[""cardiovascular""]","[""quadriceps"",""glutes"",""hamstrings""]","[""Step onto the pedals and hold the handles securely."",""Begin moving smoothly at a comfortable resistance."",""Keep an upright posture and maintain a steady rhythm.""]",exercises/elliptical-trainer/demo
stationary-rowing,Stationary Rowing,CARDIO,FULL_BODY,BEGINNER,PULL,COMPOUND,MACHINE,"[""cardiovascular""]","[""legs"",""back"",""arms""]","[""Start with knees bent, torso controlled, and arms extended."",""Drive through your legs first, then lean slightly back and pull the handle toward your lower ribs."",""Reverse the sequence smoothly to return to the start.""]",exercises/stationary-rowing/demo
stair-climber,Stair Climber,CARDIO,FULL_BODY,BEGINNER,,,MACHINE,"[""cardiovascular""]","[""quadriceps"",""glutes"",""calves""]","[""Step onto the machine and begin at a low speed."",""Stay upright and take controlled steps without leaning heavily on the handles."",""Adjust the pace to your fitness level and slow down before stopping.""]",exercises/stair-climber/demo
